step,mechanical_time_ms,phase,heating_fraction,thermal_time_seconds,maximum_temperature_c,monitor_stress_magnitude_mpa,maximum_principal_stress_magnitude_mpa,maximum_damage,yielded_interfaces,broken_interfaces,maximum_opening_um,maximum_slip_um,kinetic_energy_j,bulk_strain_energy_j,cohesive_stored_energy_j,fracture_dissipation_j,damping_dissipation_j,kinetic_to_internal_ratio
2700,0.08044447711939916,heating,0.25,1500.0,140.0,65.59052329413001,281.0266621541519,1.0,60,27,6.54623739469493,26.044128049998154,298.4956375285901,2251305.9497557054,2581.5972767081316,71.3011483271049,2087.1487346398862,0.00013243590520813921
3000,0.08938275235488796,heating,0.25,1500.0,140.0,66.28003907580671,267.88066220627906,1.0,60,30,3.1511590411765473,28.958333990289884,361.2518434235994,2251006.196522951,2573.391466583107,77.75855557168686,2250.200902900159,0.00016030134695437128
3299,0.09829123333959179,heating,0.25,1500.0,140.0,67.16668270294646,245.69862693130375,1.0,60,30,4.195328831975585,24.084304672154694,236.85244376837485,2250835.983085666,2579.5121231303274,77.91527667144825,2391.0939851913395,0.00010510819876404049
3300,0.09832102759037675,heating,0.3333333333333333,2000.0,140.0,67.67833563575225,247.65805449947706,1.0,60,30,4.214360222041142,24.130945332114216,236.58053262442633,2252927.716087126,2580.5279174416655,77.91527667144825,2391.4740745387226,0.00010489012099746829
3600,0.10725930282586556,heating,0.3333333333333333,2000.0,140.0,68.72707207952331,254.90194249051862,1.0,60,30,6.774690577452329,22.017380042779035,259.8117201538061,2252830.709189141,2592.339937794413,78.09026732430554,2503.680919113278,0.00011519422941712779
3900,0.11619757806135435,heating,0.3333333333333333,2000.0,140.0,69.90808756169392,257.7051523825589,1.0,60,30,2.5343507936809972,14.319015278071593,229.10256126604108,2252792.494184296,2568.214782289613,78.09026732430554,2614.364655777063,0.00010158133923110538
4199,0.12510605904605818,heating,0.3333333333333333,2000.0,140.0,71.09334307955453,257.36390371829094,1.0,60,30,1.4858582658653074,16.58196596049043,207.6898396402638,2252605.5853162156,2575.630123278208,78.20245184304136,2718.0432466443267,9.209452358789218e-05
4200,0.12513585329684315,heating,0.4166666666666667,2500.0,140.0,71.76683779559959,259.60502460256697,1.0,60,30,1.4948780225182994,16.586057643886498,207.32002688207908,2254497.225391379,2578.0700608672682,78.20245184304136,2718.3763261789904,9.185339421321286e-05
4500,0.13407412853233194,heating,0.4166666666666667,2500.0,140.0,72.86626274275821,260.3004558788851,1.0,60,30,2.8221736903630004,19.945109722878698,200.39405355173787,2254334.188615036,2598.4806367536166,78.20245184304136,2809.240137365693,8.879044389843131e-05
4800,0.14301240376782073,heating,0.4166666666666667,2500.0,140.0,73.88994952818331,258.91760498538014,1.0,60,30,1.1842808959226625,15.840231921344882,177.1562785228358,2254408.773089204,2555.7357884841194,78.20497810936087,2900.690608709049,7.849316098059938e-05
5099,0.15192088475252458,heating,0.4166666666666667,2500.0,140.0,74.67892964927212,261.21362293548026,1.0,60,30,1.3408536560247475,17.682265433950715,165.6924195782802,2254226.5475910767,2583.448460619623,78.20622424540556,2979.114163418354,7.341886107743239e-05
5100,0.15195067900330952,heating,0.5,3000.0,140.0,75.49448662908215,262.8870425107422,1.0,60,30,1.333521795859525,17.68942086496869,165.7665637607868,2255973.6963879713,2583.7835354365084,78.20622424540556,2979.3804833236263,7.339488378502914e-05
